,Ref,Score,Team
0,Don Van Massenhoven,2,Buffalo Sabres
1,Don Van Massenhoven,3,Philadelphia Flyers
2,Mark Faucette,2,Buffalo Sabres
3,Mark Faucette,3,Philadelphia Flyers
4,Michael McGeough,1,Buffalo Sabres
5,Michael McGeough,2,Philadelphia Flyers
6,Robbie Shick,1,Buffalo Sabres
7,Robbie Shick,2,Philadelphia Flyers
8,Bill McCreary,0,Buffalo Sabres
9,Bill McCreary,2,Philadelphia Flyers
10,Lance Roberts,0,Buffalo Sabres
11,Lance Roberts,2,Philadelphia Flyers
12,Brad Watson,3,Buffalo Sabres
13,Brad Watson,2,Philadelphia Flyers
14,Dan Marouelli,3,Buffalo Sabres
15,Dan Marouelli,2,Philadelphia Flyers
16,Richard Trotier,2,Buffalo Sabres
17,Richard Trotier,5,Philadelphia Flyers
18,Stephen Walkom,2,Buffalo Sabres
19,Stephen Walkom,5,Philadelphia Flyers
20,Michael McGeough,7,Pittsburgh Penguins
21,Michael McGeough,0,Washington Capitals
22,Robbie Shick,7,Pittsburgh Penguins
23,Robbie Shick,0,Washington Capitals
24,Don Koharski,2,Pittsburgh Penguins
25,Don Koharski,1,Washington Capitals
26,Paul Stewart,2,Pittsburgh Penguins
27,Paul Stewart,1,Washington Capitals
28,Dan O'Halloran,4,Pittsburgh Penguins
29,Dan O'Halloran,3,Washington Capitals
30,Terry Gregson,4,Pittsburgh Penguins
31,Terry Gregson,3,Washington Capitals
32,Brad Watson,2,Pittsburgh Penguins
33,Brad Watson,3,Washington Capitals
34,Dan Marouelli,2,Pittsburgh Penguins
35,Dan Marouelli,3,Washington Capitals
36,Dave Jackson,2,Pittsburgh Penguins
37,Dave Jackson,1,Washington Capitals
38,Paul Devorski,2,Pittsburgh Penguins
39,Paul Devorski,1,Washington Capitals
40,Bill McCreary,0,Ottawa Senators
41,Bill McCreary,2,Toronto Maple Leafs
42,Lance Roberts,0,Ottawa Senators
43,Lance Roberts,2,Toronto Maple Leafs
44,Dan O'Halloran,1,Ottawa Senators
45,Dan O'Halloran,5,Toronto Maple Leafs
46,Terry Gregson,1,Ottawa Senators
47,Terry Gregson,5,Toronto Maple Leafs
48,Michael McGeough,4,Ottawa Senators
49,Michael McGeough,3,Toronto Maple Leafs
50,Robbie Shick,4,Ottawa Senators
51,Robbie Shick,3,Toronto Maple Leafs
52,Don Van Massenhoven,2,Ottawa Senators
53,Don Van Massenhoven,1,Toronto Maple Leafs
54,Mark Faucette,2,Ottawa Senators
55,Mark Faucette,1,Toronto Maple Leafs
56,Dan Marouelli,1,Ottawa Senators
57,Dan Marouelli,2,Toronto Maple Leafs
58,Paul Devorski,1,Ottawa Senators
59,Paul Devorski,2,Toronto Maple Leafs
60,Dave Jackson,2,Ottawa Senators
61,Dave Jackson,4,Toronto Maple Leafs
62,Don Koharski,2,Ottawa Senators
63,Don Koharski,4,Toronto Maple Leafs
64,Dennis LaRue,3,Florida Panthers
65,Dennis LaRue,4,New Jersey Devils
66,Kerry Fraser,3,Florida Panthers
67,Kerry Fraser,4,New Jersey Devils
68,Brad Watson,1,Florida Panthers
69,Brad Watson,2,New Jersey Devils
70,Dan Marouelli,1,Florida Panthers
71,Dan Marouelli,2,New Jersey Devils
72,Richard Trottier,1,Florida Panthers
73,Richard Trottier,2,New Jersey Devils
74,Stephen Walkom,1,Florida Panthers
75,Stephen Walkom,2,New Jersey Devils
76,Dan O'Halloran,1,Florida Panthers
77,Dan O'Halloran,4,New Jersey Devils
78,Terry Gregson,1,Florida Panthers
79,Terry Gregson,4,New Jersey Devils
80,Dan O'Halloran,3,San Jose Sharks
81,Dan O'Halloran,5,St. Louis Blues
82,Terry Gregson,3,San Jose Sharks
83,Terry Gregson,5,St. Louis Blues
84,Richard Trottier,4,San Jose Sharks
85,Richard Trottier,2,St. Louis Blues
86,Stephen Walkom,4,San Jose Sharks
87,Stephen Walkom,2,St. Louis Blues
88,Dave Jackson,2,San Jose Sharks
89,Dave Jackson,1,St. Louis Blues
90,Paul Devorski,2,San Jose Sharks
91,Paul Devorski,1,St. Louis Blues
92,Dennis LaRue,3,San Jose Sharks
93,Dennis LaRue,2,St. Louis Blues
94,Kerry Fraser,3,San Jose Sharks
95,Kerry Fraser,2,St. Louis Blues
96,Bill McCreary,3,San Jose Sharks
97,Bill McCreary,5,St. Louis Blues
98,Lance Roberts,3,San Jose Sharks
99,Lance Roberts,5,St. Louis Blues
100,Stephen Walkom,2,San Jose Sharks
101,Stephen Walkom,6,St. Louis Blues
102,Terry Gregson,2,San Jose Sharks
103,Terry Gregson,6,St. Louis Blues
104,Dan Marouelli,3,San Jose Sharks
105,Dan Marouelli,1,St. Louis Blues
106,Kerry Fraser,3,San Jose Sharks
107,Kerry Fraser,1,St. Louis Blues
108,Richard Trottier,2,Dallas Stars
109,Richard Trottier,1,Edmonton Oilers
110,Stephen Walkom,2,Dallas Stars
111,Stephen Walkom,1,Edmonton Oilers
112,Dave Jackson,3,Dallas Stars
113,Dave Jackson,0,Edmonton Oilers
114,Paul Devorski,3,Dallas Stars
115,Paul Devorski,0,Edmonton Oilers
116,Don Van Massenhoven,2,Dallas Stars
117,Don Van Massenhoven,5,Edmonton Oilers
118,Mark Faucette,2,Dallas Stars
119,Mark Faucette,5,Edmonton Oilers
120,Bill McCreary,4,Dallas Stars
121,Bill McCreary,3,Edmonton Oilers
122,Lance Roberts,4,Dallas Stars
123,Lance Roberts,3,Edmonton Oilers
124,Dennis LaRue,3,Dallas Stars
125,Dennis LaRue,2,Edmonton Oilers
126,Kerry Frazier,3,Dallas Stars
127,Kerry Frazier,2,Edmonton Oilers
128,Brad Watson,6,Colorado Avalanche
129,Brad Watson,3,Phoenix Coyotes
130,Dan Marouelli,6,Colorado Avalanche
131,Dan Marouelli,3,Phoenix Coyotes
132,Dave Jackson,3,Colorado Avalanche
133,Dave Jackson,1,Phoenix Coyotes
134,Paul Devorski,3,Colorado Avalanche
135,Paul Devorski,1,Phoenix Coyotes
136,Dennis LaRue,4,Colorado Avalanche
137,Dennis LaRue,2,Phoenix Coyotes
138,Kerry Fraser,4,Colorado Avalanche
139,Kerry Fraser,2,Phoenix Coyotes
140,Don Koharski,2,Colorado Avalanche
141,Don Koharski,3,Phoenix Coyotes
142,Paul Stewart,2,Colorado Avalanche
143,Paul Stewart,3,Phoenix Coyotes
144,Don Van Massenhoven,2,Colorado Avalanche
145,Don Van Massenhoven,1,Phoenix Coyotes
146,MArk Faucette,2,Colorado Avalanche
147,MArk Faucette,1,Phoenix Coyotes
148,Bill McCreary,2,Detroit Red Wings
149,Bill McCreary,0,Los Angeles Kings
150,Lance Roberts,2,Detroit Red Wings
151,Lance Roberts,0,Los Angeles Kings
152,Dennis LaRue,8,Detroit Red Wings
153,Dennis LaRue,5,Los Angeles Kings
154,Kerry Fraser,8,Detroit Red Wings
155,Kerry Fraser,5,Los Angeles Kings
156,Don Koharski,2,Detroit Red Wings
157,Don Koharski,1,Los Angeles Kings
158,Paul Stewart,2,Detroit Red Wings
159,Paul Stewart,1,Los Angeles Kings
160,Dave Jackson,3,Detroit Red Wings
161,Dave Jackson,0,Los Angeles Kings
162,Paul Devorski,3,Detroit Red Wings
163,Paul Devorski,0,Los Angeles Kings
164,Don Koharski  #12,0,Philadelphia Flyers
165,Don Koharski  #12,2,Pittsburgh Penguins
166,Mick McGeough  #19,0,Philadelphia Flyers
167,Mick McGeough  #19,2,Pittsburgh Penguins
168,Bill McCreary,1,Philadelphia Flyers
169,Bill McCreary,4,Pittsburgh Penguins
170,Lance Roberts,1,Philadelphia Flyers
171,Lance Roberts,4,Pittsburgh Penguins
172,Richard Trottier,4,Philadelphia Flyers
173,Richard Trottier,3,Pittsburgh Penguins
174,Terry Gregson,4,Philadelphia Flyers
175,Terry Gregson,3,Pittsburgh Penguins
176,Dan Marouelli,2,Philadelphia Flyers
177,Dan Marouelli,1,Pittsburgh Penguins
178,Robbie Shick,2,Philadelphia Flyers
179,Robbie Shick,1,Pittsburgh Penguins
180,Don Van Massenhoven,6,Philadelphia Flyers
181,Don Van Massenhoven,3,Pittsburgh Penguins
182,Mark Faucette,6,Philadelphia Flyers
183,Mark Faucette,3,Pittsburgh Penguins
184,Bill McCreary,2,Philadelphia Flyers
185,Bill McCreary,1,Pittsburgh Penguins
186,Paul Devorski,2,Philadelphia Flyers
187,Paul Devorski,1,Pittsburgh Penguins
188,Bill McCreary,1,New Jersey Devils
189,Bill McCreary,2,Toronto Maple Leafs
190,Lance Roberts,1,New Jersey Devils
191,Lance Roberts,2,Toronto Maple Leafs
192,Richard Trottier,1,New Jersey Devils
193,Richard Trottier,0,Toronto Maple Leafs
194,Terry Gregson,1,New Jersey Devils
195,Terry Gregson,0,Toronto Maple Leafs
196,Don Koharski,5,New Jersey Devils
197,Don Koharski,1,Toronto Maple Leafs
198,Michael McGeough,5,New Jersey Devils
199,Michael McGeough,1,Toronto Maple Leafs
200,Paul Devorski,2,New Jersey Devils
201,Paul Devorski,3,Toronto Maple Leafs
202,Stephen Walkom,2,New Jersey Devils
203,Stephen Walkom,3,Toronto Maple Leafs
204,Dan Marouelli,4,New Jersey Devils
205,Dan Marouelli,3,Toronto Maple Leafs
206,Robbie Shick,4,New Jersey Devils
207,Robbie Shick,3,Toronto Maple Leafs
208,Don Koharski,3,New Jersey Devils
209,Don Koharski,0,Toronto Maple Leafs
210,Mark Faucette,3,New Jersey Devils
211,Mark Faucette,0,Toronto Maple Leafs
212,Paul Devorski,4,Dallas Stars
213,Paul Devorski,0,San Jose Sharks
214,Stephen Walkom,4,Dallas Stars
215,Stephen Walkom,0,San Jose Sharks
216,Dave Jackson,1,Dallas Stars
217,Dave Jackson,0,San Jose Sharks
218,Kerry Fraser,1,Dallas Stars
219,Kerry Fraser,0,San Jose Sharks
220,Don Van Massenhoven,1,Dallas Stars
221,Don Van Massenhoven,2,San Jose Sharks
222,Mark Faucette,1,Dallas Stars
223,Mark Faucette,2,San Jose Sharks
224,Bill McCreary,5,Dallas Stars
225,Bill McCreary,4,San Jose Sharks
226,Lance Roberts,5,Dallas Stars
227,Lance Roberts,4,San Jose Sharks
228,Kerry Fraser,4,Dallas Stars
229,Kerry Fraser,1,San Jose Sharks
230,Richard Trottier,4,Dallas Stars
231,Richard Trottier,1,San Jose Sharks
232,Dan Marouelli,2,Colorado Avalanche
233,Dan Marouelli,0,Detroit Red Wings
234,Rob Shick,2,Colorado Avalanche
235,Rob Shick,0,Detroit Red Wings
236,Don Van Massenhoven,3,Colorado Avalanche
237,Don Van Massenhoven,1,Detroit Red Wings
238,Mark Faucette,3,Colorado Avalanche
239,Mark Faucette,1,Detroit Red Wings
240,Paul Devorski,1,Colorado Avalanche
241,Paul Devorski,3,Detroit Red Wings
242,Stephan Walkom,1,Colorado Avalanche
243,Stephan Walkom,3,Detroit Red Wings
244,Dave Jackson,3,Colorado Avalanche
245,Dave Jackson,2,Detroit Red Wings
246,Kerry Fraser,3,Colorado Avalanche
247,Kerry Fraser,2,Detroit Red Wings
248,Don Koharski,4,Colorado Avalanche
249,Don Koharski,2,Detroit Red Wings
250,Michael McGeough,4,Colorado Avalanche
251,Michael McGeough,2,Detroit Red Wings
252,Don Koharski,4,New Jersey Devils
253,Don Koharski,1,Philadelphia Flyers
254,Robbie Shick,4,New Jersey Devils
255,Robbie Shick,1,Philadelphia Flyers
256,Dan Marouelli,3,New Jersey Devils
257,Dan Marouelli,4,Philadelphia Flyers
258,Paul Devorski,3,New Jersey Devils
259,Paul Devorski,4,Philadelphia Flyers
260,Mark Faucette,2,New Jersey Devils
261,Mark Faucette,4,Philadelphia Flyers
262,Terry Gregson,2,New Jersey Devils
263,Terry Gregson,4,Philadelphia Flyers
264,Kerry Fraser,1,New Jersey Devils
265,Kerry Fraser,3,Philadelphia Flyers
266,Stephen Walkom,1,New Jersey Devils
267,Stephen Walkom,3,Philadelphia Flyers
268,Bill McCreary  #7,4,New Jersey Devils
269,Bill McCreary  #7,1,Philadelphia Flyers
270,Don Van Massenhoven,4,New Jersey Devils
271,Don Van Massenhoven,1,Philadelphia Flyers
272,Dan Marouelli,2,New Jersey Devils
273,Dan Marouelli,1,Philadelphia Flyers
274,Mark Faucette,2,New Jersey Devils
275,Mark Faucette,1,Philadelphia Flyers
276,Dan Marouelli,2,New Jersey Devils
277,Dan Marouelli,1,Philadelphia Flyers
278,Don Koharski,2,New Jersey Devils
279,Don Koharski,1,Philadelphia Flyers
280,Mark Faucette,2,Colorado Avalanche
281,Mark Faucette,0,Dallas Stars
282,Terry Gregson,2,Colorado Avalanche
283,Terry Gregson,0,Dallas Stars
284,Kerry Fraser,2,Colorado Avalanche
285,Kerry Fraser,3,Dallas Stars
286,Stephen Walkom,2,Colorado Avalanche
287,Stephen Walkom,3,Dallas Stars
288,Bill McCreary,2,Colorado Avalanche
289,Bill McCreary,0,Dallas Stars
290,Don Van Massenhoven,2,Colorado Avalanche
291,Don Van Massenhoven,0,Dallas Stars
292,Dan Marouelli,1,Colorado Avalanche
293,Dan Marouelli,4,Dallas Stars
294,Paul Devorski,1,Colorado Avalanche
295,Paul Devorski,4,Dallas Stars
296,Don Koharski,2,Colorado Avalanche
297,Don Koharski,3,Dallas Stars
298,Robbie Shick,2,Colorado Avalanche
299,Robbie Shick,3,Dallas Stars
300,Kerry Fraser,2,Colorado Avalanche
301,Kerry Fraser,1,Dallas Stars
302,Terry Gregson,2,Colorado Avalanche
303,Terry Gregson,1,Dallas Stars
304,Bill McCreary,2,Colorado Avalanche
305,Bill McCreary,3,Dallas Stars
306,Terry Gregson,2,Colorado Avalanche
307,Terry Gregson,3,Dallas Stars
308,Bill McCreary,3,Dallas Stars
309,Bill McCreary,7,New Jersey Devils
310,Don Koharski,3,Dallas Stars
311,Don Koharski,7,New Jersey Devils
312,Dan Marouelli,2,Dallas Stars
313,Dan Marouelli,1,New Jersey Devils
314,Kerry Fraser,2,Dallas Stars
315,Kerry Fraser,1,New Jersey Devils
316,Don Koharski,1,Dallas Stars
317,Don Koharski,2,New Jersey Devils
318,Terry Gregson,1,Dallas Stars
319,Terry Gregson,2,New Jersey Devils
320,Bill McCreary,1,Dallas Stars
321,Bill McCreary,3,New Jersey Devils
322,Kerry Fraser,1,Dallas Stars
323,Kerry Fraser,3,New Jersey Devils
324,Dan Marouelli,1,Dallas Stars
325,Dan Marouelli,0,New Jersey Devils
326,Don Koharski,1,Dallas Stars
327,Don Koharski,0,New Jersey Devils
328,Bill McCreary,1,Dallas Stars
329,Bill McCreary,2,New Jersey Devils
330,Terry Gregson,1,Dallas Stars
331,Terry Gregson,2,New Jersey Devils
